date,info by,author_name,author_location,type of review,title,rated,time_posted,paragraph,date_of_experience,reply_author,reply_date,reply_paragraph
2024-09-12 19:29:01,Info for Courtney Coleman,Courtney Coleman,US,Verified,Loving my new journey,5.0,2024-09-12T15:07:05.000Z,"I know that this journey is different for everyone and I’ve made other changes in my diet (no alcohol since last year and minimal refined sugars) and exercise routine, but when I began my journey 8 weeks ago I was 144lbs. I’m back to my college athlete weight 122lbs and feeling really good and healthy. My energy levels are way up. My joints are not popping and crackling as much and I’d say my overall mood is much better. It seems like everything would upset me prior to starting Winona. I feel more level headed and even keeled now. 💜",12 September 2024,,,
2024-09-12 19:29:01,Info for Lmegk,Lmegk,US,Verified,Quality of Life,5.0,2024-09-11T05:02:27.000Z,"The whole experience has been amazing. My menopause symptoms have decreased significantly.  The education and live sessions with the Docs have been so informative, honest and refreshing. I am yet; another Winona patient, whose only regret is that I didn’t start sooner. I have been post menopausal for 5 years and I know that my life and transition could have been so much better if I started HRT earlier. I cannot say enough about how much better my quality of life is since starting with Winona. I have four sisters and because of companies like Winona, we have so much more access to quality care that truly can change the way we feel and age as women. Its has been remarkable.",10 September 2024,Reply from By Winona,2024-09-11T09:06:22.000Z,"Thank you so much for sharing your heartfelt experience! We're beyond thrilled to hear how transformative your journey with Winona has been. It’s truly amazing to know that your menopause symptoms have significantly decreased, and the education and live sessions with our doctors have provided you with the support and knowledge you needed. We understand how challenging the years leading up to and following menopause can be, and it means so much to us to hear that your quality of life has improved so dramatically. The fact that you feel empowered and more in control of your health and aging journey is exactly what we hope for all of our patients. It's wonderful that you're able to share this experience with your sisters, and we’re so proud to be part of a movement that is changing the way women experience menopause. Our goal is to provide accessible, compassionate care that truly makes a difference, and hearing stories like yours is what drives us to continue doing what we do.Thank you again for choosing Winona and for being an advocate for your own health. We’re excited to continue supporting you as you move forward!"
2024-09-12 19:29:01,Info for AS,AS,US,Verified,very good experience,4.0,2024-09-11T14:05:33.000Z,"very good experience. The website is a little difficult to navigate. I like the RX & products. Had an issue initially (side effect) took a few days for doctor to respond but overall satisfied. After 10 weeks, not seeing the results i wanted. Will hold RX for the time (still finishing the last month RX products) but hope to return soon after I consult family physician",05 September 2024,Reply from By Winona,2024-09-12T08:31:34.000Z,"Thank you for sharing your feedback! We're glad to hear that you had a positive experience overall and that you're satisfied with the RX and products. We truly appreciate your patience while waiting for a response from the doctor regarding the initial side effects, and we understand how important timely communication is.We’re sorry to hear that you haven’t yet seen the results you were hoping for after 10 weeks. Every journey is unique, and sometimes it can take a bit longer to see the full benefits. We completely support your decision to consult with your family physician and pause the RX for now. If you decide to return, we’ll be here to assist you in any way we can.Thank you again for choosing Winona. We're always striving to improve, and your feedback on the website navigation is valuable to us. We look forward to helping you in the future, and we wish you the best in your continued journey to better health!"
2024-09-12 19:29:01,Info for Holly Hernandez,Holly Hernandez,US,Verified,I Been with Winona for three months,5.0,2024-09-11T16:45:24.000Z,"I Been with Winona for three months And I feel amazing!! Let me start by saying that I wished I started it years earlier. I will say that I haven’t felt this full of Life in decades. How little did I know that my  declining hormone will be the culprit for all the malice I was experiencing throughout the years and didn’t understand why. I feel I GOT my LIFE back, I could go a whole day without the naps, my sex drive, I can compare it to my late twenties self. This BHRT is the way to go for optimal relief physically, emotionally, or mentally.",04 September 2024,Reply from By Winona,2024-09-12T08:38:24.000Z,"Thank you so much for sharing your incredible journey with Winona! We’re beyond thrilled to hear that after three months, you feel amazing and full of life again. It’s so empowering to know that BHRT has given you the relief and vitality you’ve been missing for years. It’s often surprising how much of an impact declining hormones can have on our well-being, but we’re so glad you discovered this path and found the relief you deserve. Getting your energy back, experiencing a renewed sense of emotional and physical balance, and feeling like your younger self—especially with your restored sex drive—are such wonderful outcomes.Your story is a beautiful reminder of how life-changing BHRT can be, and we’re grateful you chose to share it with us. We hope you continue to thrive, and if you ever need anything, we’re always here for you on this journey!"
2024-09-12 19:29:01,Info for Jenny Perez,Jenny Perez,US,Verified,Life changing,5.0,2024-09-11T00:47:20.000Z,I was having constant hot flashes all day. I was waking up every hour or sometimes every 1/2 hour and having night sweats. Since starting HRT 2 weeks ago my hot flashes are almost completely gone. I am sleeping 3 to 4 hours straight now. I feel like I am getting myself back again. My only regret is not starting sooner.,10 September 2024,Reply from By Winona,2024-09-11T09:04:32.000Z,"Thank you so much for sharing your journey! It’s incredibly rewarding to hear how quickly you’ve felt the benefits of HRT—going from constant hot flashes and sleepless nights to finally getting the rest you deserve must be such a relief. We understand how overwhelming those symptoms can be, and we’re so happy to be part of the solution that's helping you regain control over your well-being.Your story is a testament to the power of taking that first step. Many women, like yourself, put off trying HRT, and it’s amazing to hear how transformative it’s been for you. It’s also wonderful that you're sleeping longer stretches and finding balance again—it really makes a world of difference in day-to-day life. We’re here for you every step of the way, and if there’s ever anything you need—questions, adjustments, or just more support—don’t hesitate to reach out. Thank you for trusting Winona, and we look forward to celebrating even more progress with you in the months ahead!"
2024-09-12 19:29:01,Info for Amy,Amy,US,Verified,Winona!! Thank you,5.0,2024-09-12T22:00:27.000Z,Saw Winona on Facebook and was willing to try anything after years of debilitating hip and back pain. I tried everything else and was even considering stem cells when I came across Winona.  I filled out the form and was contacted within a day. The doctor asked me a few more questions and then prescribed estrogen and DHEA. I had my products the next week and I swear within 3 weeks my hip and back pain were gone. I didn't want to tell anyone with fear it may come back at any time. It's been 3 week and still gone. Dr Peter checked back in with me at 10 weeks asking how everything was going and said he would check back at 1 year again but to please reach out if any concerns or changes. Love this product and that someone was willing to listen to my concerns and not dismiss that they couldn't find anything wrong. It changed my quality of life. Thank you,10 September 2024,,,
2024-09-12 19:29:01,Info for M Wilson,M Wilson,US,Verified,Winona made it so easy!,5.0,2024-09-12T21:45:30.000Z,"Winona made it so easy!I was able to get online and get started without the hassle of searching locally for a provider I could trust that wouldnʻt tell me it was all in my head. Within a couple weeks I felt so much better, everything changed.",05 September 2024,,,
2024-09-12 19:29:01,Info for Miranda Hadley,Miranda Hadley,US,Verified,So far so good,5.0,2024-09-10T15:00:51.000Z,I was on synthetic hormones for 12 years and had tried to get off them to minimize my risk of breast cancer but I had no luck. Hot flashes were terrible. I came across Winona and did some research and decided to give it a try. I have lost a few pounds and honestly feel better all around,09 September 2024,Reply from By Winona,2024-09-10T23:35:06.000Z,"Thank you so much for sharing your experience about Winona, Miranda!We understand the challenges of transitioning off synthetic hormones and the impact hot flashes can have on your daily life.  They can definitely be one of the worst and most embarrassing symptoms to deal with!We're glad to hear that we have helped you overcome that challenge and that you are now feeling better overall.Thank you for the 5 stars!"
2024-09-12 19:29:01,Info for Christina C,Christina C,US,Verified,So ladies,5.0,2024-09-11T06:57:08.000Z,"So ladies, I am 53 yr old woman who has had perimenopause for 11 years. I never wanted to do HRT because I was afraid of cancers . Sleeplessness at 3 am, the hot flashes!, anxiety, sadness, emotions!, I really felt like I was losing my mind. I’ve been on the cream and DHEA for two weeks- it’s like the tiredness and mood swings are gone. I feel rational again. I have a sense of humor again. I can’t say enough- I feel so much better. I’m still unsure about HRT but as soon as one year has passed without a period I will taper off hormones. I’m so grateful I tried it. I feel like I got a second chance at happiness.",10 September 2024,Reply from By Winona,2024-09-11T09:11:21.000Z,"Thank you so much for sharing your journey with us! We understand how difficult it can be to manage the ups and downs of perimenopause, especially when it feels like there are no answers or clear solutions. It sounds like you’ve been through a lot over the last 11 years, and we’re so happy to hear that you’re finally experiencing relief.It’s completely normal to feel hesitant about starting HRT. We’re so glad that you gave it a try and are feeling more like yourself again—rested, rational, and able to find humor and joy in life. That’s what we hope for everyone who comes to Winona: a chance to feel better and regain a sense of control.Thank you again for trusting us with your care. It’s wonderful to know that you feel like you’ve found a second chance at happiness, and we’re honored to be part of your journey!"
2024-09-12 19:29:01,Info for Carlin Farner,Carlin Farner,US,Verified,Winona has really helped me,5.0,2024-09-08T20:32:58.000Z,"They have made the process easy and because of their experienced doctors my Rx is minimal. All my symptoms have subsided or are completely gone. No blood tests, no pellets and minimal expense for maximum relief! Thank you and my husband thanks you :)",07 September 2024,Reply from By Winona,2024-09-09T09:14:18.000Z,"We’re truly delighted to hear about the positive changes you’ve experienced with Winona! It’s wonderful to know that our streamlined process and dedicated doctors have provided you with such effective relief while keeping things simple and affordable. We understand how important it is to find a treatment that works without the added stress of complicated procedures or high costs. Your feedback is incredibly valuable, and we’re thrilled that you and your husband are both benefiting from improved health and well-being. Thank you for trusting us with your care and for sharing your experience!"
